name,latitude,longitude,skiable_area_acres
Whiteface Mountain,44.3659,-73.9020,288
Gore Mountain,43.6710,-74.0040,439
Titus Mountain,44.7370,-74.2290,200
West Mountain,43.3090,-73.7130,124
McCauley Mountain,43.697961,-74.963541,75
Hunter Mountain,42.2045,-74.2095,320
Windham Mountain,42.2987,-74.2573,285
Belleayre Mountain,42.1411,-74.5019,171
Plattekill Mountain,42.2903,-74.6537,75
Catamount Ski Area,42.1691,-73.4769,119
Thunder Ridge Ski Area,41.5082,-73.5831,100
Mount Peter Ski Area,41.2474,-74.2947,69
Bristol Mountain,42.7447,-77.4016,160
Greek Peak Mountain Resort,42.5077,-76.1392,220
Song Mountain,42.7739,-76.1571,93
Labrador Mountain,42.7405,-76.0305,250
Woods Valley Ski Area,43.31,-75.38,25
Toggenburg Mountain,42.84,-75.99,83
Val Bialas Ski Center,43.084270,-75.250162,10
Maple Ski Ridge,42.8170710,-74.0323068,60
Woods Valley Ski Area,43.301774,-75.382918,Not Listed
Holiday Valley,42.2625,-78.6681,290
HoliMont,42.28,-78.67,Not Listed
Kissing Bridge,42.5998,-78.6524,Not Listed
Peek'n Peak,42.062521,-79.736006,130
Buffalo Ski Club Ski Area,42.681545,-78.691803,225
Cockaigne Ski Area,42.263675,-79.162469,Not Listed
Beartown Ski Area,44.764027,-73.584646,Not Listed
Brantling Ski & Snowboard Center,43.149689,-77.065861,Not Listed
Cazenovia Ski Club,42.977020,-75.852532,Not Listed
Dry Hill Ski Area,43.931381,-75.902561,Not Listed
Hickory Ski Center,43.475907,-73.817736,Not Listed
Hunt Hollow Ski Club,42.645882,-77.478437,Not Listed
Oak Mountain Ski Center,43.513640,-74.360639,Not Listed
Royal Mountain Ski Area,43.081011,-74.503140,Not Listed
Snow Ridge Ski Resort,43.639535,-75.420074,20
Willard Mountain,43.020523,-73.515564,50